,ISIN,Name,Ticker,Tick table ID -  UTP system,Tick table ID -  Regulation,"Change tick table from April 20, 2023"
,PLSMLNG00010,SUMMALING,SUL,8,1,No
,PLSMOKS00015,OXYGEN,OXY,8,1,No
,PLSMSKH00019,FEMTECH,FEM,8,1,Yes
,PLSMTRC00013,SIMTERACT,SMT,8,1,No
,PLSNK0000012,SONKA,SOK,9,2,No
,PLSNKTK00019,SYNEKTIK,SNT,9,2,Yes
,PLSNTCH00012,SUNTECH,SUN,9,2,No
,PLSNTFG00017,AIGAMES,ALG,9,2,No
,PLSNZKA00033,SNIEZKA,SKA,9,2,No
,PLSOFTB00016,ASSECOPOL,ACP,11,4,No
,PLSONEL00011,SONEL,SON,9,2,No
,PLSPRSF00011,SPYROSOFT,SPR,9,2,No
,PLSTCKI00016,NTVSA,NTV,8,1,Yes
,PLSTCLS00013,STEMCELLS,SCS,8,1,No
,PLSTIGR00012,COLUMBUS,CLC,10,3,No
,PLSTLEX00019,STALEXP,STX,9,2,Yes
,PLSTLNR00012,STILO,STI,8,1,Yes
,PLSTLPD00017,STALPROD,STP,10,3,No
,PLSTLPF00012,STALPROFI,STF,10,3,No
,PLSTLSK00016,SANOK,SNK,9,2,Yes
,PLSTNDR00019,STANDREW,STD,9,2,Yes
,PLSTPRK00019,STAPORKOW,ZUK,9,2,No
,PLSTRGM00014,CENTURION,CTF,8,1,No
,PLSTRWI00019,STARWARD,STA,9,2,No
,PLSTSHL00012,STSHOLDING,STH,10,3,Yes
,PLSUNEX00013,SUNEX,SNX,10,3,Yes
,PLSUWAR00014,SUWARY,SUW,8,1,No
,PLSVNET00019,SEVENET,SEV,8,1,Yes
,PLSZAR000018,SZAR,SZR,8,1,Yes
,PLTABLO00012,SOLARINOV,SIN,9,2,Yes
,PLTALEX00017,TALEX,TLX,8,1,No
,PLTAMEX00015,TAMEX,TOS,8,1,Yes
,PLTAURN00011,TAURONPE,TPE,12,5,No
,PLTAXNT00011,TAXNET,TXN,8,1,Yes
,PLTBULL00024,TBULL,TBL,9,2,No
,PLTCHPR00019,MEDCAMP,MDP,9,2,Yes
,PLTELL000023,OEX,OEX,9,2,No
,PLTELST00017,TELESTO,TLO,9,2,Yes
,PLTHDST00017,THEDUST,THD,9,2,No
,PLTHP0000011,FMG,FMG,8,1,No
,PLTIM0000016,TIM,TIM,10,3,No
,PLTLCMD00018,FOOTHILLS,FTL,8,1,No
,PLTLKPL00017,ORANGEPL,OPL,12,5,No
,PLTLMDC00018,TELEMEDPL,TMP,8,1,No
,PLTLPKA00010,INTM,IMR,9,2,No
,PLTLSTD00019,TELESTR,TLS,8,1,No
,PLTLVPL00014,GHYDROGEN,GHY,9,2,Yes
,PLTNDRH00012,TENDERHUT,THG,8,1,Yes
,PLTORPL00016,TORPOL,TOR,10,3,No
,PLTOYA000011,TOYA,TOA,10,3,No
,PLTRCPS00016,7FIT,7FT,8,1,No
,PLTRCZN00016,TARCZYNSKI,TAR,9,2,Yes
,PLTRFRM00018,NEUCA,NEU,10,3,No
,PLTRGG000014,TRIGGO,TGG,9,2,No
,PLTRKPL00014,TRAKCJA,TRK,9,2,Yes
,PLTRMEX00019,TERMOEXP,TME,8,1,No
,PLTRMPR00017,TERMO2PWR,T2P,9,2,No
,PLTRMRX00011,TERMOREX,TRR,8,1,No
,PLTRNSP00013,TRANSPOL,TRN,8,1,Yes
,PLTRNSU00013,ALTA,AAT,8,1,Yes
,PLTSGS000019,TESGAS,TSG,9,2,No
,PLTSQGM00016,TSGAMES,TEN,11,4,No
,PLTWRNV00013,TOWERINVT,TOW,8,1,Yes
,PLTXM0000015,TXM,TXM,8,1,No
,PLUFGMS00017,UFGAMES,UFG,13,6,No
,PLULTGM00013,ULTGAMES,ULG,9,2,Yes
,PLUNBEP00015,UNIBEP,UNI,9,2,No
,PLUNMOT00013,UNIMOT,UNT,10,3,No
,PLUNMST00014,UNIMA,U2K,9,2,No
,PLUNTDL00018,UNILABGAM,UNL,8,1,Yes
,PLURTST00010,URTESTE,URT,8,1,Yes
,PLVBN0000015,COSMA,COS,8,1,Yes
,PLVCAOC00015,01CYBATON,01C,9,2,No
,PLVCTCM00019,VEE,VEE,9,2,No
,PLVENIT00010,MEDARD,MRD,8,1,No
,PLVGUAR00011,DEVORAN,DEV,9,2,Yes
,PLVIDIS00014,VIDIS,VDS,8,1,No
,PLVIGOS00015,VIGOPHOTN,VGO,9,2,No
,PLVKMTK00015,VAKOMTEK,VKT,8,1,No
,PLVNDEX00013,VINDEXUS,VIN,9,2,No
,PLVNTCP00019,METAVERSUM,MET,9,2,No
,PLVNTIN00011,UNFOLD,UNF,8,1,No
,PLVOTUM00016,VOTUM,VOT,10,3,No
,PLVOXEL00014,VOXEL,VOX,9,2,No
,PLVRBCM00015,VERBICOM,VRB,8,1,No
,PLVRCM000016,VERCOM,VRC,9,2,No
,PLVRTLV00019,VISION,VIV,8,1,No
,PLVSTLA00011,VRG,VRG,9,2,No
,PLVTLGD00010,VISTAL,VTL,10,3,No
,PLVTRON00010,VIATRON,VIA,8,1,No
,PLVVDGM00014,VIVID,VVD,9,2,No
,PLWAWEL00013,WAWEL,WWL,9,2,No
,PLWDKAN00016,WODKAN,WOD,8,1,No
,PLWDM0000029,REINO,RNC,8,1,No
,PLWDMCP00013,NEXITY,NXG,9,2,No
,PLWDPCK00017,WOODPCKR,WPR,9,2,No
,PLWELTN00012,WIELTON,WLT,10,3,No
,PLWKPRK00010,PIXELCROW,PIX,8,1,No
,PLWNDMB00010,AILLERON,ALL,9,2,No
,PLWOJAS00014,WOJAS,WOJ,9,2,No
,PLWREST00018,WESTREAL,WRE,8,1,Yes
,PLWRKSR00019,GIGROUP,GIG,9,2,Yes
,PLWRTHL00016,WERTHHOLZ,WHH,8,1,No
,PLWRTPL00027,WIRTUALNA,WPL,10,3,No
,PLWRWCK00013,SECOGROUP,SWG,8,1,No
,PLWRZCL00014,WIERZYCL,WRL,9,2,Yes
,PLWTCHN00030,WITTCHEN,WTN,9,2,No
,PLXPLUS00013,XPLUS,XPL,8,1,Yes
,PLXTPL000018,XTPL,XTP,9,2,No
,PLXTRDM00011,XTB,XTB,11,4,No
,PLYLWHT00012,MEDAPP,MDA,9,2,Yes
,PLYORIM00019,VARSAV,VAR,9,2,No
,PLZAMET00010,ZAMET,ZMT,9,2,No
,PLZAPUL00057,PULAWY,ZAP,9,2,No
,PLZATRM00012,GRUPAAZOTY,ATT,11,4,No
,PLZBMZC00019,ZREMB,ZRE,10,3,Yes
,PLZCPLC00036,POLICE,PCE,9,2,No
,PLZEPAK00012,ZEPAK,ZEP,10,3,No
,PLZPCOT00018,OTMUCHOW,OTM,8,1,Yes
,PLZRWZW00012,HERKULES,HRS,9,2,No
,PLZSTAL00012,PGFGROUP,PGV,9,2,No
,PLZTKMA00017,MANGATA,MGT,8,1,Yes
,PLZUE0000015,ZUE,ZUE,9,2,No
,PTJMT0AE0001,JERONIMO,JMT,13,6,No
,SE0001856519,REINHOLD,RHD,8,1,No
,SI0031102120,KRKA,KRK,9,2,No
,SK1120010287,TATRY,TMR,8,1,Yes
,US44853H1086,HUUUGE,HUG,10,3,Yes
,USU6005B1045,MILESTONE,MMD,8,1,No
,USU827061099,SILVAIR-REGS,SVRS,8,1,No
